Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-10-16 17:49:52,false,"Recovery","3.05","295","00:32:03","128","132","2.3","151","167","10:31","9:22","--","--","1.06","9.4","10.1","303","--","265","0.0","264","288","4,794","No","00:00:03.0","5","00:32:02","00:32:03","--","--"
Running,2024-10-15 16:34:00,false,"Pittsburgh - Anaerobic","8.14","914","01:22:20","144","168","4.0","155","200","10:07","5:10","85","102","1.01","9.4","9.4","294","10:11","282","0.0","269","576","12,686","No","00:00:40","21","01:22:11","01:25:21","1,033","1,061"
Running,2024-10-13 10:52:44,false,"Pittsburgh - Anaerobic","6.05","580","00:58:45","126","144","3.1","158","198","9:43","4:57","121","190","1.03","9.3","9.3","285","9:41","301","0.0","278","598","9,180","No","00:00:04.7","23","00:58:38","00:58:45","1,009","1,093"
Running,2024-10-12 13:20:12,false,"Pittsburgh - Base","5.06","508","00:48:18","134","160","3.2","158","250","9:33","6:30","358","338","1.06","9.2","9.8","284","9:26","296","0.0","290","413","7,602","No","00:00:17.1","7","00:48:16","00:49:38","919","1,106"
Running,2024-10-11 12:49:58,false,"Pittsburgh - Base","7.64","831","01:15:03","141","162","4.0","157","171","9:50","8:10","440","427","1.04","9.3","9.7","288","9:45","291","0.0","284","437","11,724","No","00:00:02.9","9","01:14:59","01:15:03","891","1,098"
Running,2024-10-10 15:14:21,false,"Pittsburgh - Base","4.80","481","00:47:01","127","135","3.0","156","235","9:48","7:28","344","338","1.05","9.3","9.7","289","9:40","297","0.0","289","447","7,300","No","00:02:00.6","6","00:46:57","00:47:01","913","1,094"
Running,2024-10-09 16:22:25,false,"Pittsburgh - Base","4.88","535","00:48:08","139","151","3.3","153","168","9:52","7:14","194","135","1.06","9.4","9.9","296","9:48","288","0.0","283","453","7,318","No","00:00:08.5","6","00:48:06","00:50:42","1,011","1,106"
Running,2024-10-08 16:31:51,false,"Pittsburgh - Sprint","7.91","831","01:19:59","135","154","3.5","152","211","10:07","4:14","243","253","1.03","9.5","9.6","300","10:04","283","0.0","271","665","12,094","No","00:00:15","23","01:19:54","01:21:51","860","1,052"
Running,2024-10-07 06:01:46,false,"Pittsburgh - Recovery","2.87","296","00:34:23","117","124","2.1","153","161","11:59","10:20","200","190","0.87","10.2","8.9","309","11:53","238","0.0","233","355","5,200","No","00:00:22.6","4","00:34:21","00:34:23","955","1,107"
Running,2024-10-06 10:14:44,false,"Pittsburgh - Base","4.80","531","00:48:07","143","154","3.5","153","164","10:02","9:06","66","56","1.04","9.5","9.9","296","10:03","270","0.0","269","320","7,294","No","00:00:07.4","6","00:48:02","00:49:26","1,074","1,093"
Running,2024-10-05 08:20:42,false,"Pittsburgh - Base","7.42","852","01:16:06","146","162","4.0","154","164","10:15","9:22","427","407","1.01","9.5","9.7","296","10:10","279","0.0","272","388","11,634","No","00:00:05.5","9","01:16:01","01:16:06","928","1,121"
Running,2024-10-04 07:01:14,false,"Pittsburgh - Base","4.81","512","00:49:01","134","148","3.2","155","172","10:11","9:06","341","338","1.01","9.5","9.6","293","10:03","280","0.0","272","425","7,570","No","00:01:01.4","6","00:49:00","00:49:01","931","1,112"
Running,2024-10-03 16:27:48,false,"Pittsburgh - Sprint","5.62","581","00:55:21","135","162","3.3","153","207","9:51","4:21","118","135","1.05","9.4","9.7","298","9:48","285","0.0","273","589","8,414","No","00:00:05.8","21","00:55:20","00:55:21","1,007","1,090"
Running,2024-10-02 14:24:59,false,"Pittsburgh - Base","5.05","469","00:48:07","121","127","2.8","157","176","9:31","7:41","374","358","1.07","9.2","9.9","286","9:24","296","0.0","291","429","7,498","No","00:00:06.9","7","00:48:05","00:48:07","930","1,112"
Running,2024-10-01 17:00:36,false,"Pittsburgh - Base","7.73","746","01:15:07","124","153","3.3","155","168","9:43","6:48","390","384","1.07","9.3","9.8","293","9:37","290","0.0","281","431","11,558","No","00:00:06.9","9","01:15:03","01:15:07","915","1,102"
Running,2024-09-29 10:39:55,false,"Pittsburgh Running","5.52","690","01:06:37","146","169","3.4","147","167","12:04","8:11","453","75","0.90","10.1","9.0","309","11:38","253","0.0","245","361","9,794","No","00:05:56.7","6","01:05:01","01:06:37","721","1,110"
Running,2024-09-29 09:32:35,false,"Pittsburgh - Richard S. Caliguiri City of Pittsburgh Great Race","6.34","600","00:48:54","150","179","4.4","169","182","7:43","5:12","259","571","1.24","8.0","9.9","251","7:47","338","0.0","333","485","8,220","No","00:00:48.9","8","00:48:52","00:48:54","755","1,138"
Running,2024-09-28 12:42:29,false,"Pittsburgh Running","3.19","385","00:35:38","140","153","3.1","151","161","11:10","7:32","256","249","0.96","9.9","9.4","307","10:57","262","0.0","254","393","5,342","No","00:02:36.4","4","00:35:25","00:35:38","890","1,112"
Running,2024-09-26 17:09:05,false,"Pittsburgh - Easy Run","3.52","366","00:36:29","127","138","2.7","155","161","10:21","8:43","197","223","1.00","9.6","9.5","295","10:18","267","0.0","262","358","5,604","No","00:05:41.3","4","00:36:27","00:36:29","925","1,094"
Running,2024-09-24 17:05:08,false,"Pittsburgh - Easy Run","4.32","500","00:45:28","144","160","3.3","152","250","10:31","7:22","223","269","1.00","9.6","9.7","303","10:24","271","0.0","265","414","6,846","No","00:03:32.7","5","00:45:24","00:45:28","888","1,099"
Running,2024-09-23 08:09:35,false,"Pittsburgh - Easy Run","3.06","345","00:34:07","131","140","2.6","153","163","11:09","9:15","207","190","0.94","9.9","9.2","301","11:03","258","0.0","252","339","5,160","No","00:00:34.6","4","00:33:53","00:34:07","1,080","1,165"
Running,2024-09-21 07:26:11,false,"Pittsburgh - Steady State Run","9.02","892","01:26:51","134","151","3.8","158","170","9:38","7:46","348","387","1.05","9.2","9.6","284","9:35","282","0.0","276","363","13,718","No","00:00:15.2","12","01:26:35","01:26:51","919","1,091"
Running,2024-09-20 15:01:23,false,"Pittsburgh Running","2.62","302","00:27:29","140","154","3.0","152","219","10:30","7:50","253","240","1.00","9.6","9.6","295","10:15","276","0.0","267","403","4,156","No","00:07:16.1","3","00:27:01","00:27:29","889","1,105"
Running,2024-09-19 15:20:38,false,"Pittsburgh - Hill Repeats","6.79","745","01:04:40","146","175","4.2","154","228","9:31","6:13","879","886","1.09","8.6","9.3","274","9:11","331","0.0","295","519","9,916","No","00:00:03.2","35","01:04:24","01:04:40","951","1,104"
Running,2024-09-17 14:16:50,false,"Pittsburgh - Supersets","8.93","970","01:20:10","153","172","5.0","158","177","8:59","6:53","223","217","1.12","8.9","9.9","280","8:58","315","0.0","305","423","12,614","No","00:00:51.8","14","01:20:03","01:30:37","995","1,081"
Running,2024-09-16 05:35:33,false,"Pittsburgh - Easy Run","4.96","494","00:56:22","118","131","2.5","154","169","11:22","7:50","361","354","0.91","10.0","9.1","301","11:11","244","0.0","238","350","8,624","No","00:00:01.1","6","00:56:20","00:56:22","919","1,105"
Running,2024-09-15 09:09:06,false,"Pittsburgh - Steady State Run","13.24","1,469","02:15:19","141","158","4.7","155","171","10:13","7:26","761","728","1.01","9.5","9.6","293","10:07","284","0.0","275","492","20,774","No","00:02:41.7","15","02:14:33","02:28:40","939","1,155"
Running,2024-09-14 07:18:11,false,"Pittsburgh Running","5.01","525","00:50:34","131","143","3.1","157","169","10:05","7:47","351","361","1.01","9.5","9.6","291","9:59","277","0.0","273","363","7,888","No","00:00:06.6","6","00:50:32","00:50:34","919","1,108"
Running,2024-09-13 13:58:16,false,"Pittsburgh Running","3.33","373","00:33:12","141","157","3.2","155","163","9:59","7:28","266","256","1.04","9.4","9.8","293","9:48","289","0.0","282","383","5,080","No","00:03:09.3","4","00:33:10","00:33:12","881","1,096"
